city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Tupper Lake,NY,circle,44.2417,-74.3893,30.0,2007,12,Day
Phippsburg,ME,sphere,43.79,-69.8271,13.0,2007,12,Night
Mystic  - New Haven,CT,light,,,5400.0,2007,12,Night
Braintree,VT,unknown,,,1800.0,2007,12,Night
New Milford,CT,cigar,41.5770000000001,-73.40849999999983,1020.0,2006,12,Night
Dumont,NJ,unknown,40.94059999999996,-73.99679999999992,,2006,12,Night
Williamsport,MD,triangle,39.57909999999999,-77.82399999999998,180.0,2006,12,Day
Wilkes-Barre,PA,light,41.23260710382515,-75.82914754098356,450.0,2007,12,Night
Perth Amboy,NJ,unknown,40.51924590163934,-74.2737540983607,1800.0,2007,12,Night
Braintree,VT,circle,,,600.0,2007,12,Night
Torrington,CT,triangle,41.83939999999991,-73.12550000000009,240.0,2006,12,Night
Berlin,CT,triangle,41.60339999999997,-72.77630000000018,,2006,12,Night
Baltimore,MD,light,39.31307269413025,-76.61182201968622,,2006,12,Night
Mendham,NJ,triangle,40.78560000000001,-74.5889,2400.0,2007,12,Night
Indiana,PA,formation,40.62226046511638,-79.14650077519384,3600.0,2006,12,Day
Freehold Township,NJ,diamond,,,30.0,2007,12,Night
Bolivar,PA,light,40.3525,-79.17740000000002,,2006,12,Night
Apollo,PA,circle,40.54050000000002,-79.58620000000005,7200.0,2006,12,Night
Westport,MA,circle,,,,2006,12,Night
Harrisburg,PA,light,40.30708258145362,-76.83058884711784,60.0,2006,12,Night
Warren,VT,other,44.109,-72.8522,,2006,12,Day
Philadelphia,PA,unknown,39.99063505273983,-75.1458012136986,,2006,12,Night
East Providence,RI,circle,41.81329999999994,-71.36189999999995,210.0,2006,12,Day
Warren,ME,cylinder,44.1235,-69.241,120.0,2006,12,Day
Cockeysville,MD,other,39.49179999999986,-76.63279999999993,3600.0,2006,12,Night
Upton,MA,light,42.17609999999998,-71.59999999999997,,2006,12,Night
Shillington,PA,circle,,,,2006,12,Night
Laconia,NH,light,43.56406941176467,-71.48186235294116,300.0,2006,12,Night
Shillington,PA,circle,,,,2006,12,Night
Havre de Grace,MD,fireball,39.556399999999954,-76.12420000000012,,2006,12,Night
Harrisburg,PA,formation,40.30708258145362,-76.83058884711784,30.0,2006,12,Night
New York,NY,circle,40.74430706561583,-73.98772448166753,,2006,12,Night
Hicksville,NY,other,40.767044025157126,-73.52539056603803,12.5,2006,12,Day
Germansville,PA,unknown,40.721,-75.7038,300.0,2006,12,Night
Bloomfield,NJ,disk,40.8086000000001,-74.18690000000016,30.0,2006,12,Night
Warrington,PA,triangle,40.24890000000004,-75.14980000000007,180.0,2006,12,Night
Walden,NY,triangle,41.5589,-74.14809999999993,10.0,2006,12,Night
Bridgeville,PA,triangle,40.34560000000007,-80.13420000000009,60.0,2006,12,Night
Rochester,NH,oval,43.30220000000004,-71.03462380952385,,2006,12,Night
Buffalo,NY,light,42.90222609317205,-78.85083919083908,2.0,2006,12,Night
Hershey,PA,cigar,40.26670000000001,-76.63810000000007,300.0,2006,12,Night
North East,MD,unknown,39.57539999999996,-75.92689999999996,60.0,2007,12,Night
Tiverton,RI,cylinder,41.60920000000001,-71.17439999999996,5.5,2008,12,Day
Plainview,NY,cigar,40.77649999999995,-73.46730000000008,35.0,2008,12,Day
Child,MD,oval,,,,2008,12,Night
Kinnelon,NJ,formation,,,480.0,2008,12,Night
Rochester,NY,other,43.15504152068439,-77.6178589638459,120.0,2008,12,Night
Hudson Falls,NY,cigar,43.3006,-73.5859,,2008,12,Day
Fort Fairfield,ME,other,46.7793,-67.8573,,2008,12,Night
Carver,MA,unknown,41.8741,-70.75509999999996,20.0,2008,12,Night
Taneytown,MD,other,39.65750000000001,-77.1748,3600.0,2009,12,Night
Taneytown,MD,other,39.65750000000001,-77.1748,3600.0,2009,12,Night
Hauppauge,NY,circle,40.81910000000005,-73.21020000000021,,2009,12,Night
Sewell,NJ,light,39.761499999999856,-75.12449999999991,30.0,2009,12,Night
Towson,MD,sphere,39.40776842105256,-76.60717368421054,5.0,2009,12,Night
Niantic,CT,light,41.32770000000004,-72.21770000000004,5.0,2009,12,Night
Perryville,MD,circle,39.57098333333333,-76.04549999999999,,2009,12,Night
Mahwah,NJ,fireball,41.078,-74.1764000000001,5.0,2009,12,Night
Francestown,NH,circle,42.9917,-71.8076,4.0,2009,12,Night
Media,PA,circle,39.91943314917112,-75.41740110497227,5.0,2009,12,Night
Washington,NJ,oval,40.75199999999997,-75.0072,,2009,12,Night
New York,NY,circle,40.74430706561583,-73.98772448166753,210.0,2009,12,Night
West Babylon,NY,disk,40.7066899224807,-73.35013255813936,1.0,2009,12,Night
Stratford,CT,circle,41.21305351351345,-73.12902108108116,5.0,2009,12,Night
Mendon,MA,unknown,42.103,-71.54389999999997,30.0,2009,12,Day
New York,NY,cross,40.74430706561583,-73.98772448166753,10.0,2009,12,Night
Preston,MD,light,38.75189999999999,-75.92699999999999,300.0,2009,12,Night
New Freedom,PA,light,39.76970000000004,-76.65630000000006,,2009,12,Night
Linden,NJ,unknown,40.62209999999985,-74.2446,,2009,12,Night
Willington,CT,circle,,,10.0,2009,12,Night
Hampton Bays,NY,other,40.88169999999997,-72.53639999999997,10.0,2009,12,Night
Jacobs Mill,PA,formation,,,180.0,2009,12,Night
Columbus,NJ,oval,40.0761,-74.69480000000007,25.0,2009,12,Day
Grafton,MA,circle,42.20270000000001,-71.68129999999998,6.0,2009,12,Night
Weymouth,MA,other,42.22089999999996,-70.93980000000009,,2009,12,Night
Spring Grove,PA,rectangle,39.849400000000045,-76.86619999999996,45.0,2009,12,Night
Mount Cobb,PA,circle,,,12.0,2009,12,Night
New York,NY,light,40.74430706561583,-73.98772448166753,300.0,2009,12,Night
Meriden,CT,fireball,41.53889934640518,-72.79349084967309,2250.0,2009,12,Night
Oakland,PA,disk,,,,2008,12,Day
Brewerton,NY,disk,43.21079999999999,-76.1363,30.0,2008,12,Night
Lisbon,CT,circle,,,5.0,2008,12,Day
Neville Island,PA,light,,,,2008,12,Night
Rehoboth Beach,DE,other,38.688599999999965,-75.0733,8.5,2008,12,Night
Stanhope,NJ,light,40.91900000000001,-74.70260000000003,60.0,2009,12,Night
New Britain,PA,triangle,,,180.0,2008,12,Night
Cheektowaga,NY,light,,,1.5,2008,12,Night
Lodi,NJ,formation,40.87829999999998,-74.08129999999991,,2008,12,Day
South Hiram,ME,teardrop,,,5.0,2008,12,Night
Medi,PA,cigar,,,5.0,2008,12,Night
Takoma Park,MD,formation,38.982654285714304,-77.00403333333325,7.0,2008,12,Night
Baltimore,MD,light,39.31307269413025,-76.61182201968622,3600.0,2008,12,Night
Kensington,MD,light,39.02560149253727,-77.07718805970148,600.0,2008,12,Night
Harrisburg,PA,fireball,40.30708258145362,-76.83058884711784,60.0,2008,12,Night
Buffalo,NY,triangle,42.90222609317205,-78.85083919083908,120.0,2008,12,Night
Mahwah,NJ,unknown,41.078,-74.1764000000001,30.0,2008,12,Day
Pittsfield,MA,triangle,42.47261239669413,-73.2741603305786,300.0,2008,12,Night
Killingworth,CT,fireball,41.37640000000005,-72.58329999999991,5.0,2008,12,Night
Orchard Park,NY,sphere,42.74420000000004,-78.74420000000006,3.0,2008,12,Day
Bethpage,NY,cigar,40.74049999999992,-73.4840000000001,60.0,2008,12,Day
Kings Park,NY,unknown,40.88750000000003,-73.25010000000009,43.0,2008,12,Night
Syracuse,NY,unknown,43.05037092436972,-76.15706369747863,1800.0,2008,12,Night
Middletown,NY,triangle,41.45298651162791,-74.4549683720927,180.0,2008,12,Day
Nashua,NH,changing,42.74402106339464,-71.48120613496933,210.0,2008,12,Night
Seaford,NY,unknown,40.67350000000003,-73.49240000000005,5.0,2008,12,Night
Stamford,CT,light,41.070318348624106,-73.54236269113177,1.5,2008,12,Night
Woodbridge,NJ,rectangle,40.55249999999986,-74.29149999999993,360.0,2009,12,Night
Hammonton,NJ,triangle,39.63650000000004,-74.80239999999988,,2008,12,Night
Southampton,PA,unknown,40.18770000000006,-75.00580000000008,120.0,2008,12,Night
Vassalboro,ME,light,44.4291,-69.64710000000001,240.0,2009,12,Night
Conway,NH,light,43.9732,-71.2326,240.0,2009,12,Day
McMurray,PA,cylinder,,,3600.0,2009,12,Night
Buffalo,NY,light,42.90222609317205,-78.85083919083908,1200.0,2009,12,Night
Woodsville,NH,triangle,44.1133,-71.9292,180.0,2009,12,Night
Melbourne,VT,formation,,,300.0,2008,12,Night
Woodlyn,PA,circle,39.8748,-75.34609999999999,,2008,12,Day
ZIP code 20876,MD,other,,,,2008,12,Night
South Burlington,VT,light,44.45240000000005,-73.18410000000017,1800.0,2008,12,Night
Preble,NY,light,,,5.0,2009,12,Night
Elmira,NY,changing,42.08283608247423,-76.80816185567022,120.0,2009,12,Night
Drums,PA,light,41.04840000000001,-76.00189999999999,10.0,2009,12,Night
Fort Washington,MD,disk,,,1050.0,2008,12,Night
Wappingers Falls,NY,light,41.5861,-73.88299999999988,20.0,2009,12,Night
Rockville,MD,triangle,39.07793837209271,-77.14956651162731,6.0,2009,12,Night
Cochranville,PA,fireball,39.8716,-75.92280000000001,,2009,12,Night
Latham,NY,triangle,42.74699999999997,-73.759,,2009,12,Night
Montgomery County,PA,oval,,,10800.0,2008,12,Night
Oxford,MA,triangle,42.116800000000005,-71.86479999999999,,2008,12,Day
Stewartstown,PA,unknown,39.772399999999976,-76.58449999999999,16200.0,2008,12,Night
Northport,NY,light,40.91400000000004,-73.32070000000012,3600.0,2008,12,Night
