city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Overland Park,KS,other,38.92109229843529,-94.69181576413904,30.0,2006,12,Night
Deerfield,IL,light,42.17109999999984,-87.84449999999974,1800.0,2006,12,Night
Green Oaks,IL,circle,,,3.0,2006,12,Night
Cincinnati,OH,light,39.17450311744183,-84.48136299381915,,2006,12,Night
Niles,MI,cigar,41.84389999999994,-86.21640000000008,,2006,12,Night
Tallmadge,OH,triangle,41.09789999999999,-81.4258,60.0,2006,12,Night
Randolph,NE,formation,,,5.0,2007,12,Night
Harbor Springs,MI,circle,45.54420000000002,-84.99150000000002,10.0,2006,12,Night
Port Huron,MI,sphere,42.99099076923087,-82.47415153846146,600.0,2006,12,Night
Cadiz,OH,changing,40.2612,-81.0199,,2006,12,Night
Butler,OH,unknown,,,25.0,2006,12,Night
North Jackson,OH,cone,41.0793,-80.866,180.0,2006,12,Night
Sterling Heights,MI,flash,42.58055260770967,-83.0316430839001,750.0,2007,12,Night
Frankfort,IL,oval,41.47380000000008,-87.83770000000003,600.0,2007,12,Night
St Louis,MO,triangle,38.6238249341758,-90.30852769878896,10.0,2007,12,Night
St Louis,MO,triangle,38.6238249341758,-90.30852769878896,10.0,2007,12,Night
Bellaire,OH,fireball,40.0245,-80.80050000000001,120.0,2006,12,Night
Millersburg,OH,fireball,40.51309999999995,-81.86889999999995,900.0,2006,12,Night
Canton,OH,sphere,40.84330718954251,-81.408000217865,1200.0,2006,12,Night
Benton,OH,light,,,,2006,12,Day
Salina,KS,disk,38.85167499999998,-97.61407647058822,5.0,2007,12,Night
Chicago,IL,disk,41.87991241592284,-87.66801795521151,180.0,2007,12,Day
"Osgood, Pierceville, Milan",IN,other,,,1.0,2006,12,Night
Manitou Beach,MI,fireball,41.97559999999999,-84.2686,2.0,2006,12,Night
Garden City,MI,flash,42.32520000000007,-83.34529999999997,120.0,2006,12,Day
Pataskala,OH,triangle,40.00970000000002,-82.67180000000005,60.0,2007,12,Night
Missouri,MO,circle,,,300.0,2007,12,Night
East Moline,IL,triangle,41.521199999999965,-90.3858,600.0,2007,12,Night
Chicago,IL,triangle,41.87991241592284,-87.66801795521151,10.0,2007,12,Night
Elmwood Park,IL,light,41.92109999999992,-87.80919999999983,450.0,2006,12,Night
Corydon,IN,light,38.18409999999999,-86.15229999999998,20.0,2006,12,Day
Raymond,MN,unknown,45.0222,-95.217,3600.0,2006,12,Night
Omaha,NE,circle,41.25485179600818,-96.0648278492242,5.0,2007,12,Night
Ashland,MO,oval,38.7812,-92.2542,30.0,2007,12,Night
Altoona,IA,unknown,41.64719999999998,-93.46000000000002,60.0,2007,12,Night
Drummond Island,MI,triangle,,,,2006,12,Day
Farmington,MI,triangle,42.48103027027026,-83.37954198198238,300.0,2006,12,Night
Sanford,MI,rectangle,43.71230000000001,-84.42229999999998,900.0,2006,12,Night
Indianapolis,IN,fireball,39.80764884834021,-86.14221402931446,,2006,12,Night
Elmwood Pk,IL,light,,,600.0,2006,12,Night
Davill,IN,disk,,,,2006,12,Day
Rockford,IA,circle,43.0386,-92.9465,,2006,12,Night
Fenton,MI,other,42.77050000000001,-83.74669999999986,600.0,2006,12,Night
Elmwood Pk,IL,light,,,600.0,2006,12,Night
North Kansas City,MO,triangle,39.13,-94.5622,210.0,2007,12,Day
Clayton,MI,circle,41.859,-84.2112,,2006,12,Night
Michigan City,IN,triangle,41.68120227272721,-86.86613181818164,5.0,2006,12,Night
Auburn,IL,circle,39.589,-89.754,12600.0,2006,12,Night
Danville,IL,unknown,40.15247999999991,-87.64933200000016,120.0,2006,12,Day
