city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Camp Pendleton,CA,other,,,,2006,12,Day
Camp Pendleton,CA,other,,,,2006,12,Night
Twenty Nine Palms,CA,other,,,,2006,12,Day
Cedar Ridge,AZ,oval,,,,2006,12,Day
Los Angeles,CA,oval,34.05070709048434,-118.27993506712303,,2007,12,Day
Bellingham,WA,light,48.74688634868416,-122.4446200657896,510.0,2007,12,Night
Los Angeles,CA,unknown,34.05070709048434,-118.27993506712303,60.0,2007,12,Night
Yuma,AZ,disk,32.70386264591438,-114.59088443579785,3600.0,2006,12,Night
Highway 371,NM,triangle,,,30.0,2006,12,Night
San Diego,CA,light,32.78722907702912,-117.14026773074518,450.0,2006,12,Night
Littleton,CO,oval,39.56792218259644,-105.0102302425093,45.0,2006,12,Day
Sacramento,CA,cigar,38.57580181028332,-121.4500995655303,,2007,12,Night
Newport,CA,disk,,,,2006,12,Night
Santa Barbara,CA,sphere,34.31703810344835,-119.72054137931023,300.0,2007,12,Night
Richmond,CA,circle,37.93792291666656,-122.35003298611122,210.0,2006,12,Night
Manhattan Beach,CA,fireball,33.889148684210426,-118.4013256578947,,2007,12,Night
Concord,CA,unknown,37.978174496644485,-122.005810067113,,2006,12,Night
Wasilla,AK,oval,61.53757924528298,-149.5421037735848,60.0,2006,12,Day
El Cerrito,CA,disk,37.91799999999999,-122.3032000000002,240.0,2007,12,Night
Durango,CO,light,37.4214799999999,-107.85291833333318,120.0,2007,12,Night
Boulder,CO,light,40.02440360189541,-105.2687395260668,600.0,2007,12,Night
Novato,CA,light,38.09954836956515,-122.57792853260872,120.0,2006,12,Night
Mission Viejo,CA,disk,33.60235384615386,-117.65907692307684,60.0,2007,12,Night
Irvine,CA,circle,33.68653500837554,-117.79240477386912,1200.0,2007,12,Night
Gilbert,AZ,unknown,33.33960089766617,-111.78126499102297,5.0,2007,12,Night
Phoenix,AZ,unknown,33.5353805506076,-112.04946000000058,,2007,12,Night
Spokane,WA,fireball,47.683576293930166,-117.38633105431283,,2005,12,Night
Honolulu,HI,unknown,21.32260015003748,-157.84012865716397,120.0,2007,12,Night
San Diego,CA,light,32.78722907702912,-117.14026773074518,180.0,2007,12,Night
Burbank,CA,formation,34.15164266263203,-118.31696066565824,180.0,2006,12,Day
Denver,CO,light,39.7451263722071,-104.95934593826648,3600.0,2006,12,Night
Los Angeles,CA,rectangle,34.05070709048434,-118.27993506712303,60.0,2007,12,Day
San Diego,CA,light,32.78722907702912,-117.14026773074518,300.0,2007,12,Night
Peoria,AZ,unknown,33.65789817232365,-112.24664203655357,300.0,2007,12,Night
Los Angeles,CA,circle,34.05070709048434,-118.27993506712303,900.0,2007,12,Night
Los Angeles,CA,circle,34.05070709048434,-118.27993506712303,150.0,2007,12,Day
Mount Hood,WA,cigar,,,,2006,12,Day
San Rafael,CA,changing,37.9952614325068,-122.5211082644632,7.0,2006,12,Day
San Diego,CA,light,32.78722907702912,-117.14026773074518,2700.0,2007,12,Night
San Martin,CA,unknown,37.10270000000001,-121.60010000000004,150.0,2007,12,Night
Tustin,CA,disk,33.74724999999989,-117.81254999999976,300.0,2007,12,Night
Bountiful,UT,formation,40.88074394904459,-111.8254974522293,570.0,2007,12,Night
Alta Loma,CA,circle,,,100.0,2007,12,Night
Joshua Tree,CA,light,34.1578,-116.27320000000005,240.0,2006,12,Night
Garden Grove,CA,light,33.77568084291183,-117.9588831417624,60.0,2006,12,Night
Ridgecrest,CA,fireball,35.5542828125,-117.67641249999984,300.0,2006,12,Night
Sheridan,WY,light,44.77770000000006,-106.8386,3600.0,2006,12,Night
Lakewood,CO,light,39.7047,-105.0814,900.0,2007,12,Night
Longmont,CO,unknown,40.170373319755605,-105.08544969450068,300.0,2007,12,Night
Burbank,CA,unknown,34.15164266263203,-118.31696066565824,180.0,2007,12,Night
Grants Pass,OR,light,42.46357701863344,-123.37069254658384,,2007,12,Night
Klickitat Yakima County Line,WA,flash,,,120.0,2007,12,Night
Pahoa,HI,egg,19.460100000000004,-155.02460000000002,2.0,2006,12,Night
Queen Creek,AZ,cigar,33.24702000000007,-111.6332933333332,,2006,12,Day
Marana,AZ,unknown,32.4482375,-111.26440000000002,90.0,2006,12,Day
Yuma,AZ,other,32.70386264591438,-114.59088443579785,7200.0,2007,12,Day
Mountains,WA,flash,,,300.0,2007,12,Night
Clovis,CA,other,36.86390063694262,-119.65213566878928,10.0,2007,12,Night
Irvine,CA,other,33.68653500837554,-117.79240477386912,,2007,12,Night
Phoenix,AZ,rectangle,33.5353805506076,-112.04946000000058,2880.0,2007,12,Night
Vernon,AZ,light,,,,2007,12,Night
Hacienda Heights,CA,formation,34.00240000000002,-117.97570000000027,,2007,12,Night
Maricopa,AZ,light,33.05586756756755,-112.05598918918918,600.0,2006,12,Night
Susanville,CA,light,40.571065432098735,-120.61862962962968,7200.0,2006,12,Night
Pleasanton,CA,circle,37.66508758169949,-121.89576392156889,,2006,12,Night
calistoga,CA,changing,38.6253,-122.6159,40.0,2006,12,Day
Orland,CA,triangle,39.73040000000002,-122.3379,12.5,2007,12,Night
Springerville,AZ,light,34.0486,-109.2019,20.0,2007,12,Night
Vista,CA,light,33.20143333333324,-117.23173730158756,480.0,2007,12,Night
Spokane,WA,light,47.683576293930166,-117.38633105431283,300.0,2007,12,Night
Ventura,CA,light,34.29657455830382,-119.2399162544167,3.0,2006,12,Night
Manteca,CA,oval,37.77416999999992,-121.22565560000034,2700.0,2006,12,Night
Manteca,CA,disk,37.77416999999992,-121.22565560000034,2700.0,2006,12,Night
Los Angeles,CA,light,34.05070709048434,-118.27993506712303,,2006,12,Night
Santa Fe,NM,diamond,35.66108268398252,-105.95390714285728,,2006,12,Night
Woodland,CA,light,38.70717218543043,-121.79490860927166,,2006,12,Night
Boulder,CO,circle,40.02440360189541,-105.2687395260668,90.0,2007,12,Night
Los Angeles,CA,cylinder,34.05070709048434,-118.27993506712303,,2007,12,Night
